ID,Incident_Num,Incident_Type,Occured_date_time,Precinct,Sector,Beat,Officer_ID,Subject_ID,Subject_Race,Subject_Gender
1097-772-1096,1097,Level 2 - Use of Force,2014-06-05T21:46:00,S,S,S1,772,1096,Asian,Male
1096-1260-1095,1096,Level 2 - Use of Force,2014-06-05T21:46:00,S,S,S1,1260,1095,Asian,Male
1096-1260-1096,1096,Level 2 - Use of Force,2014-06-05T21:46:00,S,S,S1,1260,1096,Asian,Male
1099-913-1095,1099,Level 2 - Use of Force,2014-06-05T21:45:00,S,S,S1,913,1095,Asian,Male
1100-1253-1095,1100,Level 2 - Use of Force,2014-06-05T21:45:00,S,S,S1,1253,1095,Asian,Male
1101-410-1095,1101,Level 2 - Use of Force,2014-06-05T21:45:00,S,S,S1,410,1095,Asian,Male
1092-666-499,1092,Level 2 - Use of Force,2014-06-11T10:35:00,S,S,S1,666,499,White,Male
960-1266-984,960,Level 1 - Use of Force,2014-08-29T06:59:00,SW,F,F2,1266,984,White,Male
837-175-871,837,Level 1 - Use of Force,2014-08-13T05:02:00,SW,F,F2,175,871,,Male
980-577-871,980,Level 1 - Use of Force,2014-08-13T06:00:00,SW,F,F2,577,871,,Male
1363-1636-1339,1363,Level 2 - Use of Force,2014-04-05T20:38:00,SW,F,F2,1636,1339,Black or African American,Male
1404-1039-1339,1404,Level 2 - Use of Force,2014-04-02T17:49:00,SW,F,F2,1039,1339,Black or African American,Male
1406-396-1339,1406,Level 2 - Use of Force,2014-04-02T17:49:00,SW,F,F2,396,1339,Black or African American,Male
1718-612-1608,1718,Level 1 - Use of Force,2014-06-08T17:25:00,SW,F,F2,612,1608,Hispanic or Latino,Male
1545-1256-1383,1545,Level 1 - Use of Force,2014-04-08T20:54:00,SW,F,F2,1256,1383,White,Male
1548-1547-1383,1548,Level 1 - Use of Force,2014-04-08T20:54:00,SW,F,F2,1547,1383,White,Male
1554-1219-1383,1554,Level 1 - Use of Force,2014-04-08T20:54:00,SW,F,F2,1219,1383,White,Male
1559-854-1383,1559,Level 1 - Use of Force,2014-04-08T20:54:00,SW,F,F2,854,1383,White,Male
1460-869-1515,1460,Level 1 - Use of Force,2014-09-25T18:58:00,SW,F,F2,869,1515,White,Male
1564-1222-1515,1564,Level 1 - Use of Force,2014-09-25T18:00:00,SW,F,F2,1222,1515,White,Male
1410-911-1339,1410,Level 2 - Use of Force,2014-04-02T17:49:00,SW,F,F2,911,1339,Black or African American,Male
1411-560-1339,1411,Level 2 - Use of Force,2014-04-02T17:49:00,SW,F,F2,560,1339,Black or African American,Male
1413-1555-1339,1413,Level 2 - Use of Force,2014-04-02T17:49:00,SW,F,F2,1555,1339,Black or African American,Male
1414-1178-1339,1414,Level 2 - Use of Force,2014-04-02T17:49:00,SW,F,F2,1178,1339,Black or African American,Male
1415-612-1339,1415,Level 2 - Use of Force,2014-04-02T17:49:00,SW,F,F2,612,1339,Black or African American,Male
1455-836-1383,1455,Level 1 - Use of Force,2014-04-08T20:54:00,SW,F,F2,836,1383,White,Male
814-1222-836,814,Level 2 - Use of Force,2014-08-12T17:40:00,SW,F,F3,1222,836,White,Male
823-1614-836,823,Level 2 - Use of Force,2014-08-12T17:40:00,SW,F,F3,1614,836,White,Male
815-869-836,815,Level 2 - Use of Force,2014-08-12T17:40:00,SW,F,F3,869,836,White,Male
824-1165-836,824,Level 2 - Use of Force,2014-08-12T17:40:00,SW,F,F3,1165,836,White,Male
1129-757-1132,1129,Level 2 - Use of Force,2014-05-20T17:42:00,SW,F,F3,757,1132,Hispanic or Latino,Male
1130-1247-1132,1130,Level 2 - Use of Force,2014-05-20T17:42:00,SW,F,F3,1247,1132,Hispanic or Latino,Male
1169-1246-1132,1169,Level 2 - Use of Force,2014-05-20T17:42:00,SW,F,F3,1246,1132,Hispanic or Latino,Male
1128-1241-1127,1128,Level 2 - Use of Force,2014-05-21T08:31:00,SW,F,F2,1241,1127,White,Male
1168-872-1127,1168,Level 2 - Use of Force,2014-05-21T08:26:00,SW,F,F2,872,1127,White,Male
1116-1602-1115,1116,Level 2 - Use of Force,2014-05-22T20:35:00,S,O,O3,1602,1115,Hispanic or Latino,Male
1118-1607-1115,1118,Level 2 - Use of Force,2014-05-22T20:35:00,S,O,O3,1607,1115,Hispanic or Latino,Male
1120-1123-1115,1120,Level 2 - Use of Force,2014-05-22T20:35:00,S,O,O3,1123,1115,Hispanic or Latino,Male
1117-933-1117,1117,Level 2 - Use of Force,2014-05-22T06:00:00,N,L,L1,933,1117,Black or African American,Male
1121-762-1117,1121,Level 2 - Use of Force,2014-05-22T06:00:00,N,L,L1,762,1117,Black or African American,Male
1124-930-1125,1124,Level 2 - Use of Force,2014-05-22T06:00:00,N,L,L1,930,1125,White,Female
1111-1634-754,1111,Level 2 - Use of Force,2014-05-30T10:45:00,W,K,K2,1634,754,Black or African American,Male
859-927-886,859,Level 1 - Use of Force,2014-08-16T00:20:00,W,D,D2,927,886,White,Male
900-408-694,900,Level 1 - Use of Force,2014-08-20T21:15:00,W,K,K3,408,694,White,Male
901-456-694,901,Level 1 - Use of Force,2014-08-20T21:40:00,W,K,K3,456,694,White,Male
902-1775-928,902,Level 1 - Use of Force,2014-08-20T21:38:00,W,K,K3,1775,928,Black or African American,Female
6843-1890-5487,6843,Level 2 - Use of Force,2015-08-24T02:29:00,W,K,K3,1890,5487,Black or African American,Male
518-1159-474,518,Level 1 - Use of Force,2014-07-16T15:55:00,W,M,M1,1159,474,,Male
1261-1725-1233,1261,Level 2 - Use of Force,2014-04-28T00:39:00,W,M,M1,1725,1233,American Indian/Alaska Native,Male
1397-1666-1354,1397,Level 1 - Use of Force,2014-04-14T00:23:00,W,M,M1,1666,1354,White,Male
1133-1615-1142,1133,Level 2 - Use of Force,2014-05-20T15:45:00,N,U,U1,1615,1142,White,Male
1134-967-1142,1134,Level 2 - Use of Force,2014-05-20T15:45:00,N,U,U1,967,1142,White,Male
965-1604-995,965,Level 1 - Use of Force,2014-08-29T02:42:00,E,E,E1,1604,995,Black or African American,Male
965-1604-996,965,Level 1 - Use of Force,2014-08-29T02:42:00,E,E,E1,1604,996,White,Male
706-1229-718,706,Level 1 - Use of Force,2014-08-01T00:55:00,E,E,E2,1229,718,Black or African American,Male
1200-1225-1174,1200,Level 2 - Use of Force,2014-05-06T13:20:00,E,E,E2,1225,1174,Black or African American,Male
1202-1690-1174,1202,Level 2 - Use of Force,2014-05-06T13:20:00,E,E,E2,1690,1174,Black or African American,Male
609-1581-586,609,Level 2 - Use of Force,2014-07-23T15:12:00,E,G,G3,1581,586,Black or African American,Male
611-1599-586,611,Level 2 - Use of Force,2014-07-23T15:15:00,E,G,G3,1599,586,Black or African American,Male
612-1811-586,612,Level 2 - Use of Force,2014-07-23T15:15:00,E,G,G3,1811,586,Black or African American,Male
614-1587-586,614,Level 2 - Use of Force,2014-07-23T15:13:00,E,G,G3,1587,586,Black or African American,Male
615-1232-586,615,Level 2 - Use of Force,2014-07-23T15:15:00,E,G,G3,1232,586,Black or African American,Male
617-1117-586,617,Level 2 - Use of Force,2014-07-23T15:01:00,E,G,G3,1117,586,Black or African American,Male
1137-1779-1144,1137,Level 2 - Use of Force,2014-05-16T02:23:00,W,Q,Q3,1779,1144,White,Male
1139-1559-1147,1139,Level 2 - Use of Force,2014-05-16T00:14:00,N,B,B3,1559,1147,White,Male
1089-102-1089,1089,Level 1 - Use of Force,2014-09-10T01:41:00,E,E,E2,102,1089,White,Male
1012-1807-1030,1012,Level 1 - Use of Force,2014-09-03T13:54:00,N,N,N2,1807,1030,Black or African American,Male
15993-811-12676,15993,Level 2 - Use of Force,2017-06-06T17:30:00,E,G,G3,811,12676,Black or African American,Male
16016-1267-12676,16016,Level 2 - Use of Force,2017-06-06T17:30:00,E,G,G3,1267,12676,Black or African American,Male
972-1843-1004,972,Level 1 - Use of Force,2014-08-30T13:36:00,E,G,G3,1843,1004,Black or African American,Female
1753-1640-1640,1753,Level 2 - Use of Force,2014-10-05T20:55:00,E,G,G3,1640,1640,Black or African American,Male
15993-811-12675,15993,Level 2 - Use of Force,2017-06-06T17:30:00,E,G,G3,811,12675,Black or African American,Male
15993-811-12625,15993,Level 2 - Use of Force,2017-06-06T17:30:00,E,G,G3,811,12625,Black or African American,Male
16016-1267-12625,16016,Level 2 - Use of Force,2017-06-06T17:30:00,E,G,G3,1267,12625,Black or African American,Male
15940-1554-12625,15940,Level 2 - Use of Force,2017-06-06T17:30:00,E,G,G3,1554,12625,Black or African American,Male
15948-1231-12632,15948,Level 1 - Use of Force,2017-06-06T17:30:00,E,G,G3,1231,12632,Black or African American,Male
15955-946-12632,15955,Level 1 - Use of Force,2017-06-06T17:30:00,E,G,G3,946,12632,Black or African American,Male
15939-1134-12624,15939,Level 1 - Use of Force,2017-06-06T17:30:00,E,G,G3,1134,12624,Black or African American,Male
15940-1554-12624,15940,Level 2 - Use of Force,2017-06-06T17:30:00,E,G,G3,1554,12624,Black or African American,Male
15955-946-12624,15955,Level 1 - Use of Force,2017-06-06T17:30:00,E,G,G3,946,12624,Black or African American,Male
16016-1267-12624,16016,Level 2 - Use of Force,2017-06-06T17:30:00,E,G,G3,1267,12624,Black or African American,Male
15955-946-12625,15955,Level 1 - Use of Force,2017-06-06T17:30:00,E,G,G3,946,12625,Black or African American,Male
3208-1253-2851,3208,Level 1 - Use of Force,2015-01-06T08:40:00,E,G,G3,1253,2851,Black or African American,Female
15939-1134-3032,15939,Level 1 - Use of Force,2017-06-06T17:30:00,E,G,G3,1134,3032,Black or African American,Male
15955-946-3032,15955,Level 1 - Use of Force,2017-06-06T17:30:00,E,G,G3,946,3032,Black or African American,Male
15993-811-3032,15993,Level 2 - Use of Force,2017-06-06T17:30:00,E,G,G3,811,3032,Black or African American,Male
16016-1267-3032,16016,Level 2 - Use of Force,2017-06-06T17:30:00,E,G,G3,1267,3032,Black or African American,Male
1071-1666-1073,1071,Level 2 - Use of Force,2014-06-17T15:05:00,W,M,M1,1666,1073,Black or African American,Male
1164-1239-1073,1164,Level 2 - Use of Force,2014-06-17T15:05:00,W,M,M1,1239,1073,Black or African American,Male
1071-1666-1074,1071,Level 2 - Use of Force,2014-06-17T15:05:00,W,M,M1,1666,1074,Black or African American,Female
1164-1239-1074,1164,Level 2 - Use of Force,2014-06-17T15:05:00,W,M,M1,1239,1074,Black or African American,Female
1175-1608-1163,1175,Level 2 - Use of Force,2014-05-13T02:12:00,N,N,N3,1608,1163,White,Male
1177-1789-1163,1177,Level 2 - Use of Force,2014-05-13T02:12:00,N,N,N3,1789,1163,White,Male
1178-1745-1163,1178,Level 2 - Use of Force,2014-05-13T02:12:00,N,N,N3,1745,1163,White,Male
1171-1649-1163,1171,Level 2 - Use of Force,2014-05-13T02:12:00,N,N,N3,1649,1163,White,Male
1172-1108-1163,1172,Level 2 - Use of Force,2014-05-13T02:12:00,N,N,N3,1108,1163,White,Male
1174-1721-1163,1174,Level 2 - Use of Force,2014-05-13T02:12:00,N,N,N3,1721,1163,White,Male
1466-1807-1424,1466,Level 2 - Use of Force,2014-09-26T00:37:00,E,E,E2,1807,1424,Black or African American,Male
3510-1762-3067,3510,Level 1 - Use of Force,2015-01-25T00:40:00,E,E,E2,1762,3067,White,Male
1189-1162-1167,1189,Level 2 - Use of Force,2014-05-12T20:11:00,W,K,K3,1162,1167,Black or African American,Male
1184-1787-1167,1184,Level 2 - Use of Force,2014-05-12T20:11:00,W,K,K3,1787,1167,Black or African American,Male
1195-1176-1169,1195,Level 2 - Use of Force,2014-05-12T14:07:00,W,M,M1,1176,1169,Hispanic or Latino,Male
1196-1571-1169,1196,Level 2 - Use of Force,2014-05-12T14:07:00,W,M,M1,1571,1169,Hispanic or Latino,Male
1182-721-1166,1182,Level 2 - Use of Force,2014-05-13T19:24:00,N,N,N2,721,1166,White,Male
1186-736-1166,1186,Level 2 - Use of Force,2014-05-13T18:19:00,N,N,N2,736,1166,White,Male
1187-1187-1166,1187,Level 2 - Use of Force,2014-05-13T18:05:00,N,N,N2,1187,1166,White,Male
1190-1549-1166,1190,Level 2 - Use of Force,2014-05-13T19:31:00,N,N,N2,1549,1166,White,Male
1191-1611-1166,1191,Level 2 - Use of Force,2014-05-13T18:05:00,N,N,N2,1611,1166,White,Male
1192-1572-1166,1192,Level 2 - Use of Force,2014-05-13T18:05:00,N,N,N2,1572,1166,White,Male
1193-701-1166,1193,Level 2 - Use of Force,2014-05-13T18:05:00,N,N,N2,701,1166,White,Male
1194-1792-1166,1194,Level 2 - Use of Force,2014-05-13T18:05:00,N,N,N2,1792,1166,White,Male
1198-102-1171,1198,Level 2 - Use of Force,2014-05-10T21:20:00,S,O,O1,102,1171,White,Male
954-1081-980,954,Level 1 - Use of Force,2014-08-27T09:33:00,N,B,B1,1081,980,White,Male
955-18-980,955,Level 1 - Use of Force,2014-08-27T09:37:00,N,B,B1,18,980,White,Male
953-1184-980,953,Level 1 - Use of Force,2014-08-27T09:33:00,N,B,B1,1184,980,White,Male
986-1846-1010,986,Level 1 - Use of Force,2014-08-31T22:23:00,N,N,N1,1846,1010,,Male
992-1046-1010,992,Level 1 - Use of Force,2014-08-31T22:21:00,N,N,N1,1046,1010,,Male
938-969-970,938,Level 2 - Use of Force,2014-08-22T21:00:00,N,J,J1,969,970,Black or African American,Male
365-1766-314,365,Level 1 - Use of Force,2014-06-29T21:42:00,N,J,J2,1766,314,,Male
366-590-315,366,Level 1 - Use of Force,2014-06-29T20:20:00,N,N,N3,590,315,,Male
367-969-315,367,Level 1 - Use of Force,2014-06-29T20:20:00,N,N,N3,969,315,,Male
368-1716-315,368,Level 1 - Use of Force,2014-06-29T20:13:00,N,N,N3,1716,315,,Male
1212-1899-1195,1212,Level 2 - Use of Force,2014-05-21T00:53:00,N,B,B1,1899,1195,White,Male
1209-1622-1187,1209,Level 2 - Use of Force,2014-05-03T21:45:00,E,E,E2,1622,1187,White,Female
951-1602-978,951,Level 1 - Use of Force,2014-08-27T17:50:00,S,R,R2,1602,978,Black or African American,Male
1213-1785-1197,1213,Level 2 - Use of Force,2014-04-18T14:30:00,S,R,R2,1785,1197,White,Female
1214-1537-1197,1214,Level 2 - Use of Force,2014-04-18T14:30:00,S,R,R2,1537,1197,White,Female
1215-1218-1197,1215,Level 2 - Use of Force,2014-04-18T14:30:00,S,R,R2,1218,1197,White,Female
1208-1733-211,1208,Level 1 - Use of Force,2014-05-23T07:30:00,W,K,K2,1733,211,Black or African American,Male
798-1058-810,798,Level 2 - Use of Force,2014-08-10T22:36:00,E,E,E3,1058,810,White,Male
1750-1443-1638,1750,Level 1 - Use of Force,2014-10-05T01:00:00,E,E,E3,1443,1638,,Male
1220-1750-1204,1220,Level 2 - Use of Force,2014-05-08T01:30:00,W,K,K2,1750,1204,Black or African American,Male
1222-1760-1204,1222,Level 2 - Use of Force,2014-05-08T01:26:00,W,K,K2,1760,1204,Black or African American,Male
1224-1134-1206,1224,Level 2 - Use of Force,2014-04-28T17:25:00,X,X,XX,1134,1206,White,Male
1226-1120-1206,1226,Level 2 - Use of Force,2014-04-28T14:20:00,X,X,XX,1120,1206,White,Male
1227-702-1206,1227,Level 2 - Use of Force,2014-04-28T14:00:00,X,X,XX,702,1206,White,Male
959-1899-983,959,Level 1 - Use of Force,2014-08-29T02:09:00,N,J,J3,1899,983,Asian,Male
1088-1899-1088,1088,Level 1 - Use of Force,2014-09-09T21:33:00,N,J,J3,1899,1088,White,Male
984-1719-1008,984,Level 2 - Use of Force,2014-08-26T22:30:00,N,B,B2,1719,1008,White,Male
987-672-1008,987,Level 2 - Use of Force,2014-08-26T22:40:00,N,B,B2,672,1008,White,Male
985-1559-1008,985,Level 2 - Use of Force,2014-08-26T22:40:00,N,B,B2,1559,1008,White,Male
850-1818-499,850,Level 1 - Use of Force,2014-08-14T16:00:00,N,L,L1,1818,499,White,Male
860-1796-887,860,Level 1 - Use of Force,2014-08-15T17:46:00,N,N,N1,1796,887,White,Female
1048-1247-1053,1048,Level 1 - Use of Force,2014-09-06T17:31:00,SW,W,W2,1247,1053,Black or African American,Male
1263-1709-1236,1263,Level 2 - Use of Force,2014-04-13T22:05:00,S,R,R3,1709,1236,White,Male
1274-1575-1236,1274,Level 2 - Use of Force,2014-04-13T22:04:00,S,R,R3,1575,1236,White,Male
1260-1738-1233,1260,Level 2 - Use of Force,2014-04-28T00:39:00,W,M,M1,1738,1233,American Indian/Alaska Native,Male
1252-558-1223,1252,Level 2 - Use of Force,2014-04-28T14:05:00,S,R,R1,558,1223,White,Male
1254-281-1223,1254,Level 2 - Use of Force,2014-04-28T14:05:00,S,R,R1,281,1223,White,Male
1256-1631-1223,1256,Level 2 - Use of Force,2014-04-28T14:05:00,S,R,R1,1631,1223,White,Male
1255-1743-1226,1255,Level 2 - Use of Force,2014-05-01T15:17:00,S,S,S1,1743,1226,Black or African American,Male
1257-1218-1226,1257,Level 2 - Use of Force,2014-05-01T15:17:00,S,S,S1,1218,1226,Black or African American,Male
1259-1785-1226,1259,Level 2 - Use of Force,2014-05-01T15:17:00,S,S,S1,1785,1226,Black or African American,Male
2734-1145-365,2734,Level 1 - Use of Force,2014-12-07T22:53:00,E,E,E2,1145,365,Black or African American,Male
2736-1635-365,2736,Level 1 - Use of Force,2014-12-07T22:53:00,E,E,E2,1635,365,Black or African American,Male
1144-1229-1151,1144,Level 2 - Use of Force,2014-09-13T02:04:00,E,E,E2,1229,1151,Black or African American,Male
1251-1041-1219,1251,Level 2 - Use of Force,2014-05-01T22:50:00,E,E,E2,1041,1219,White,Male
1253-1176-1219,1253,Level 2 - Use of Force,2014-05-01T22:50:00,E,E,E2,1176,1219,White,Male
2735-1601-2472,2735,Level 1 - Use of Force,2014-12-07T22:53:00,E,E,E2,1601,2472,Black or African American,Male
1831-1707-1708,1831,Level 1 - Use of Force,2014-05-01T19:20:00,E,E,E2,1707,1708,,
1825-1558-1708,1825,Level 1 - Use of Force,2014-05-01T19:20:00,E,E,E2,1558,1708,,
1810-769-1708,1810,Level 1 - Use of Force,2014-05-01T19:20:00,E,E,E2,769,1708,,
1988-1618-1772,1988,Level 2 - Use of Force,2014-09-26T00:37:00,E,E,E2,1618,1772,,Female
1467-1141-1424,1467,Level 2 - Use of Force,2014-09-26T00:37:00,E,E,E2,1141,1424,Black or African American,Male
1788-1690-1708,1788,Level 1 - Use of Force,2014-05-01T19:20:00,E,E,E2,1690,1708,,
1845-1599-1708,1845,Level 1 - Use of Force,2014-05-01T19:20:00,E,E,E2,1599,1708,,
1840-1741-1708,1840,Level 1 - Use of Force,2014-05-01T19:20:00,E,E,E2,1741,1708,,
1240-1137-1215,1240,Level 2 - Use of Force,2014-05-01T18:00:00,E,E,E1,1137,1215,,Male
1241-946-1215,1241,Level 2 - Use of Force,2014-05-01T18:00:00,E,E,E1,946,1215,,Male
1245-619-1217,1245,Level 2 - Use of Force,2014-05-01T18:00:00,E,E,E1,619,1217,White,Male
1247-1051-1217,1247,Level 2 - Use of Force,2014-05-01T18:00:00,E,E,E1,1051,1217,White,Male
1364-1601-1341,1364,Level 1 - Use of Force,2014-04-05T14:30:00,E,E,E1,1601,1341,White,Male
1780-1538-1680,1780,Level 1 - Use of Force,2014-05-01T21:00:00,E,E,E1,1538,1680,White,Male
4901-948-2999,4901,Level 2 - Use of Force,2015-05-01T18:30:00,E,E,E1,948,2999,White,Male
1236-115-1212,1236,Level 2 - Use of Force,2014-05-05T13:23:00,E,E,E1,115,1212,White,Male
1236-115-1213,1236,Level 2 - Use of Force,2014-05-05T13:23:00,E,E,E1,115,1213,White,Male
1321-964-1282,1321,Level 2 - Use of Force,2014-04-03T11:38:00,N,B,B3,964,1282,White,Male
1322-1786-1282,1322,Level 2 - Use of Force,2014-04-03T11:38:00,N,B,B3,1786,1282,White,Male
1315-1181-1276,1315,Level 2 - Use of Force,2014-04-03T23:10:00,S,S,S1,1181,1276,Asian,Male
1316-1704-1276,1316,Level 2 - Use of Force,2014-04-03T23:10:00,S,S,S1,1704,1276,Asian,Male
1319-1264-1276,1319,Level 2 - Use of Force,2014-04-03T23:10:00,S,S,S1,1264,1276,Asian,Male
1320-773-1276,1320,Level 2 - Use of Force,2014-04-03T23:10:00,S,S,S1,773,1276,Asian,Male
1314-709-737,1314,Level 2 - Use of Force,2014-04-05T02:08:00,W,D,D1,709,737,Black or African American,Male
1312-709-1274,1312,Level 2 - Use of Force,2014-04-05T02:13:00,W,D,D1,709,1274,Black or African American,Male
1312-709-1275,1312,Level 2 - Use of Force,2014-04-05T02:13:00,W,D,D1,709,1275,Black or African American,Male
1313-590-1273,1313,Level 2 - Use of Force,2014-04-06T20:37:00,N,N,N3,590,1273,White,Female
1311-1745-1273,1311,Level 2 - Use of Force,2014-04-06T20:37:00,N,N,N3,1745,1273,White,Female
1308-622-130,1308,Level 2 - Use of Force,2014-04-08T10:05:00,SW,F,F1,622,130,White,Male
1303-1642-1270,1303,Level 2 - Use of Force,2014-04-08T20:47:00,N,B,B3,1642,1270,White,Male
1304-785-1270,1304,Level 2 - Use of Force,2014-04-08T20:47:00,N,B,B3,785,1270,White,Male
18178-1642-6703,18178,Level 1 - Use of Force,2017-11-10T00:15:00,N,B,B3,1642,6703,White,Male
1295-927-1263,1295,Level 2 - Use of Force,2014-04-10T14:25:00,W,D,D3,927,1263,White,Male
1297-1159-1263,1297,Level 2 - Use of Force,2014-04-10T14:10:00,W,D,D3,1159,1263,White,Male
1300-1682-1263,1300,Level 2 - Use of Force,2014-04-10T14:10:00,W,D,D3,1682,1263,White,Male
1301-882-1263,1301,Level 2 - Use of Force,2014-04-10T14:10:00,W,D,D3,882,1263,White,Male
1302-1779-1263,1302,Level 2 - Use of Force,2014-04-10T14:10:00,W,D,D3,1779,1263,White,Male
1281-1607-1253,1281,Level 2 - Use of Force,2014-04-14T21:45:00,S,O,O3,1607,1253,Black or African American,Male
1282-1780-1253,1282,Level 2 - Use of Force,2014-04-14T21:45:00,S,O,O3,1780,1253,Black or African American,Male
1279-1632-1251,1279,Level 2 - Use of Force,2014-04-12T04:14:00,N,U,U2,1632,1251,Asian,Male
1280-1221-1251,1280,Level 2 - Use of Force,2014-04-12T04:14:00,N,B,B3,1221,1251,Asian,Male
1305-1662-1272,1305,Level 2 - Use of Force,2014-04-26T03:00:00,E,E,E2,1662,1272,White,Male
1306-1622-1272,1306,Level 2 - Use of Force,2014-04-26T03:00:00,E,E,E2,1622,1272,White,Male
1307-1539-1272,1307,Level 2 - Use of Force,2014-04-26T03:00:00,E,E,E2,1539,1272,White,Male
1309-1090-1272,1309,Level 2 - Use of Force,2014-04-26T03:00:00,E,E,E2,1090,1272,White,Male
1310-1103-1272,1310,Level 2 - Use of Force,2014-04-26T03:00:00,E,E,E2,1103,1272,White,Male
1277-1769-135,1277,Level 2 - Use of Force,2014-04-22T23:34:00,N,U,U1,1769,135,Black or African American,Male
705-1577-715,705,Level 1 - Use of Force,2014-07-31T20:08:00,W,K,K2,1577,715,,Male
465-1443-423,465,Level 1 - Use of Force,2014-07-12T01:11:00,E,E,E2,1443,423,White,Male
3037-1581-2736,3037,Level 2 - Use of Force,2014-12-26T16:45:00,E,E,E2,1581,2736,White,Male
466-1762-423,466,Level 1 - Use of Force,2014-07-12T01:27:00,E,E,E2,1762,423,White,Male
466-1762-424,466,Level 1 - Use of Force,2014-07-12T01:27:00,E,E,E2,1762,424,White,Female
3123-1690-2330,3123,Level 1 - Use of Force,2014-12-31T23:30:00,E,E,E2,1690,2330,White,Male
3124-898-2330,3124,Level 1 - Use of Force,2014-12-31T23:00:00,E,E,E2,898,2330,White,Male
467-1622-423,467,Level 1 - Use of Force,2014-07-12T01:11:00,E,E,E2,1622,423,White,Male
467-1622-424,467,Level 1 - Use of Force,2014-07-12T01:11:00,E,E,E2,1622,424,White,Female
307-1680-258,307,Level 2 - Use of Force,2014-06-22T14:25:00,W,K,K2,1680,258,Black or African American,Male
310-675-258,310,Level 2 - Use of Force,2014-06-22T14:26:00,W,K,K2,675,258,Black or African American,Male
309-1730-260,309,Level 2 - Use of Force,2014-06-22T14:24:00,W,K,K2,1730,260,Black or African American,Male
307-1680-262,307,Level 2 - Use of Force,2014-06-22T14:25:00,W,K,K2,1680,262,White,Male
1335-1054-1301,1335,Level 1 - Use of Force,2014-04-02T00:39:00,S,S,S3,1054,1301,,Male
1337-1271-1301,1337,Level 1 - Use of Force,2014-04-02T00:39:00,S,S,S3,1271,1301,,Male
1339-1110-1301,1339,Level 1 - Use of Force,2014-04-02T00:58:00,S,S,S3,1110,1301,,Male
1328-1046-1296,1328,Level 2 - Use of Force,2014-04-05T22:50:00,N,J,J1,1046,1296,White,Male
1333-1745-1296,1333,Level 2 - Use of Force,2014-04-05T22:50:00,N,J,J1,1745,1296,White,Male
1336-1119-1296,1336,Level 2 - Use of Force,2014-04-05T22:50:00,N,J,J1,1119,1296,White,Male
1579-1652-1296,1579,Level 2 - Use of Force,2014-04-05T22:49:00,N,J,J1,1652,1296,White,Male
1341-1585-1304,1341,Level 2 - Use of Force,2014-04-06T17:14:00,N,B,B2,1585,1304,White,Male
1343-769-1304,1343,Level 2 - Use of Force,2014-04-06T17:14:00,N,B,B2,769,1304,White,Male
1344-1790-1304,1344,Level 2 - Use of Force,2014-04-06T17:14:00,N,B,B2,1790,1304,White,Male
1347-1663-1304,1347,Level 2 - Use of Force,2014-04-06T17:14:00,N,B,B2,1663,1304,White,Male
1351-1658-1304,1351,Level 2 - Use of Force,2014-04-06T17:14:00,N,B,B2,1658,1304,White,Male
23187-1611-16028,23187,Level 1 - Use of Force,2018-03-29T15:36:00,N,B,B2,1611,16028,White,Male
1354-1659-1304,1354,Level 2 - Use of Force,2014-04-06T17:14:00,N,B,B2,1659,1304,White,Male
8732-898-6691,8732,Level 1 - Use of Force,2015-12-03T13:40:00,N,B,B2,898,6691,White,Female
1331-1662-1294,1331,Level 2 - Use of Force,2014-05-03T21:45:00,W,D,D2,1662,1294,White,Female
1360-1225-1324,1360,Level 1 - Use of Force,2014-04-04T23:00:00,E,G,G3,1225,1324,Black or African American,Male
1353-1539-1311,1353,Level 1 - Use of Force,2014-04-04T05:06:00,E,E,E2,1539,1311,White,Male
1357-1622-1311,1357,Level 1 - Use of Force,2014-04-04T02:25:00,E,E,E2,1622,1311,White,Male
1358-1700-1311,1358,Level 1 - Use of Force,2014-04-04T02:06:00,E,E,E2,1700,1311,White,Male
1340-1682-1170,1340,Level 1 - Use of Force,2014-04-03T12:01:00,W,K,K3,1682,1170,Black or African American,Male
1350-852-1170,1350,Level 1 - Use of Force,2014-04-03T12:01:00,W,K,K3,852,1170,Black or African American,Male
1359-1618-1331,1359,Level 2 - Use of Force,2014-04-05T19:50:00,E,E,E2,1618,1331,White,Male
1362-1681-1331,1362,Level 2 - Use of Force,2014-04-05T19:50:00,E,E,E2,1681,1331,White,Male
1361-1692-1336,1361,Level 1 - Use of Force,2014-04-04T10:00:00,S,S,S3,1692,1336,,Female
1367-853-1341,1367,Level 1 - Use of Force,2014-04-05T15:05:00,E,E,E2,853,1341,White,Male
1371-1623-1344,1371,Level 1 - Use of Force,2014-04-06T00:29:00,N,U,U1,1623,1344,White,Male
1375-1742-1344,1375,Level 1 - Use of Force,2014-04-06T01:32:00,N,U,U1,1742,1344,White,Male
1374-1776-1346,1374,Level 1 - Use of Force,2014-04-09T13:08:00,S,S,S2,1776,1346,Black or African American,Female
1378-1628-1346,1378,Level 1 - Use of Force,2014-04-09T13:08:00,S,S,S2,1628,1346,Black or African American,Female
1381-851-1346,1381,Level 1 - Use of Force,2014-04-09T13:08:00,S,S,S2,851,1346,Black or African American,Female
1385-1576-1346,1385,Level 1 - Use of Force,2014-04-09T13:08:00,S,S,S2,1576,1346,Black or African American,Female
